a,TSNE_1,TSNE_2,X,
312,X11.112,-1.133648849,4.771693439,Mesenchymalstemcell_Cxcl1high(Mesenchymal-Stem-Cell-Cultured)
313,X48.112,-1.152114813,4.864531728,Mesenchymalstemcell_Cxcl1high(Mesenchymal-Stem-Cell-Cultured)
314,X24.114,-3.262938593,-2.599777522,Bcell_Cd79a&Iglc2high(Mammary-Gland-Virgin)
315,V17,0.802206548,-5.00005972,macrophage_mouse
316,X29.115,0.853719053,-5.036740167,Dendriticcell_Fscn1high(Mammary-Gland-Virgin)
317,X3.117,-4.21904988,-3.677084143,T-cells_Ctla4high(Mammary-Gland-Virgin)
318,X45.117,-3.539177839,-2.812767808,T-cells_Ctla4high(Mammary-Gland-Virgin)
319,X48.117,-3.466988852,-3.151026667,T-cells_Ctla4high(Mammary-Gland-Virgin)
320,X20.118,0.616679833,-3.3127585,Stromalcell_Col3a1high(Mammary-Gland-Virgin)
321,X38.118,0.586819444,-3.143704884,Stromalcell_Col3a1high(Mammary-Gland-Virgin)
322,X38.119,0.400272442,-3.487778168,Stromalcell_Pi16high(Mammary-Gland-Virgin)
323,X3.120,-1.354540607,7.608364012,Luminalcell_Krt19high(Mammary-Gland-Virgin)
324,X12.120,-2.290787399,7.416466179,Luminalcell_Krt19high(Mammary-Gland-Virgin)
325,X16.121,1.219645335,-5.269771376,Macrophage_Lyz1high(Mammary-Gland-Virgin)
326,X25.121,1.122836663,-5.283077162,Macrophage_Lyz1high(Mammary-Gland-Virgin)
327,V1690,3.453076896,-4.992334179,macrophage_mouse
328,X49.121,4.011688073,-4.607193864,Macrophage_Lyz1high(Mammary-Gland-Virgin)
329,X4.123,0.332827086,-3.382865228,Stromalcell(Mammary-Gland-Pregrancy)
330,X7.123,0.509788521,-3.292645597,Stromalcell(Mammary-Gland-Pregrancy)
331,X9.123,0.265385857,-3.824688922,Stromalcell(Mammary-Gland-Pregrancy)
332,X23.123,0.465283221,-2.995329783,Stromalcell(Mammary-Gland-Pregrancy)
333,X33.123,0.572680617,-3.607864738,Stromalcell(Mammary-Gland-Pregrancy)
334,X34.123,0.490088856,-3.774436328,Stromalcell(Mammary-Gland-Pregrancy)
335,X46.123,0.506124625,-3.273621005,Stromalcell(Mammary-Gland-Pregrancy)
336,X47.123,0.720532554,-3.802135861,Stromalcell(Mammary-Gland-Pregrancy)
337,X4.124,-0.246487698,-4.446938066,Bcell_Ly6dhigh(Mammary-Gland-Pregrancy)
338,X46.124,-3.050132128,-2.333273231,Bcell_Ly6dhigh(Mammary-Gland-Pregrancy)
339,X4.125,-6.233024337,1.983664309,Secretoryalveolicell(Mammary-Gland-Pregrancy)
340,X7.125,-6.241271866,1.965452984,Secretoryalveolicell(Mammary-Gland-Pregrancy)
341,X9.125,-6.164781596,2.187613075,Secretoryalveolicell(Mammary-Gland-Pregrancy)
342,X14.125,-6.279102501,2.059922028,Secretoryalveolicell(Mammary-Gland-Pregrancy)
343,X21.125,-6.246586262,2.060228324,Secretoryalveolicell(Mammary-Gland-Pregrancy)
344,X26.125,-6.272540004,1.961295203,Secretoryalveolicell(Mammary-Gland-Pregrancy)
345,X29.125,-6.599488743,2.285838991,Secretoryalveolicell(Mammary-Gland-Pregrancy)
346,X32.125,-6.33360818,2.016885742,Secretoryalveolicell(Mammary-Gland-Pregrancy)
347,X34.125,-6.741462778,2.362279773,Secretoryalveolicell(Mammary-Gland-Pregrancy)
348,X36.125,-6.264051714,2.033537687,Secretoryalveolicell(Mammary-Gland-Pregrancy)
349,X49.125,-6.366904882,2.095756979,Secretoryalveolicell(Mammary-Gland-Pregrancy)
350,X14.126,-6.074721581,1.704416813,Ductalluminalcell(Mammary-Gland-Pregrancy)
351,X26.127,-6.114227406,1.781348382,Tcell(Mammary-Gland-Pregrancy)
