,0,1,2,3,4,5,6,7,8,9
153,2-cell embryo,ES_Actb_high(Embryonic-Stem-Cell),Epithelial cells,Osteoblasts,Excitatory neurons,Embryonic stem cell,embryo 9,Postmitotic premature neurons,ES cell,embryo 7
154,Late blastocyst cell (100-102h post-fertilization),Postmitotic premature neurons,2-cell embryo,epiblast cell,Oligodendrocyte Progenitors,embryo 9,Epithelial cells,Excitatory neurons,ES_Actb_high(Embryonic-Stem-Cell),Embryonic stem cell
155,4-cell embryo,Osteoblasts,Postmitotic premature neurons,Intermediate Mesoderm,embryo 9,epiblast cell,Embryonic stem cell,ES_Actb_high(Embryonic-Stem-Cell),Connective tissue progenitors,4-cell stage blastomere
156,Embryonic stem cell,Epithelial cells,Epithelial cells,Intermediate Mesoderm,embryo 14,epiblast cell,ES_Actb_high(Embryonic-Stem-Cell),16-cell stage blastomere,Postmitotic premature neurons,2-cell embryo
157,embryo 9,Epithelial cells,Connective tissue progenitors,ES_Actb_high(Embryonic-Stem-Cell),4-cell embryo,Endothelial cells,Postmitotic premature neurons,Late blastocyst cell (100-102h post-fertilization),epiblast cell,Embryonic stem cell
158,ES_Rps28_high(Embryonic-Stem-Cell),epiblast cell,Embryonic stem cell,Epithelial cells,Definitive erythroid lineage,Mid blastocyst cell (92-94h post-fertilization),embryo 10,Excitatory neurons,2-cell embryo,Excitatory neurons
159,embryo 14,8-cell embryo,Late 2-cell stage blastomere (46-48h post-fertilization),epiblast cell,Epithelial cells,Intermediate Mesoderm,ES_Nedd4_high(Embryonic-Stem-Cell),Inhibitory neurons,Excitatory neurons,Embryonic stem cell
160,Epithelial cells,Intermediate Mesoderm,Embryonic stem cell,embryo 7,embryo 7,ES_Actb_high(Embryonic-Stem-Cell),16-cell stage blastomere,Postmitotic premature neurons,2-cell embryo,Connective tissue progenitors
161,Excitatory neurons,embryo 14,Epithelial cells,embryo 7,2-cell embryo,2-cell embryo,Embryonic stem cell,ES_Actb_high(Embryonic-Stem-Cell),Epithelial cells,Isthmic organizer cells
162,Embryonic stem cell,ES_Actb_high(Embryonic-Stem-Cell),Epithelial cells,Connective tissue progenitors,Epithelial cells,Inhibitory neurons,epiblast cell,4-cell embryo,8-cell stage blastomere,embryo 14
163,Osteoblasts,Late blastocyst cell (100-102h post-fertilization),embryo 14,2-cell embryo,Embryonic stem cell,Oligodendrocyte Progenitors,Oligodendrocyte Progenitors,embryo 9,ES_Actb_high(Embryonic-Stem-Cell),Intermediate Mesoderm
164,Postmitotic premature neurons,embryo 9,Definitive erythroid lineage,ES_Actb_high(Embryonic-Stem-Cell),Late blastocyst cell (100-102h post-fertilization),Embryonic stem cell,epiblast cell,Excitatory neurons,8-cell embryo,Oligodendrocyte Progenitors
165,Embryonic stem cell,ES cell,Intermediate Mesoderm,Connective tissue progenitors,embryo 10,Connective tissue progenitors,ES_Actb_high(Embryonic-Stem-Cell),Early blastocyst cell (86-88h post-fertilization),Definitive erythroid lineage,epiblast cell
166,ES_Actb_high(Embryonic-Stem-Cell),Embryonic stem cell,Postmitotic premature neurons,16-cell stage blastomere,2-cell embryo,Connective tissue progenitors,Excitatory neurons,Postmitotic premature neurons,CD4-positive  alpha-beta T cell,epiblast cell
167,Endothelial cells,ES_Rps28_high(Embryonic-Stem-Cell),Excitatory neurons,Mid blastocyst cell (92-94h post-fertilization),2-cell embryo,Connective tissue progenitors,epiblast cell,embryo 7,Embryonic stem cell,Inhibitory neurons
168,Postmitotic premature neurons,Excitatory neurons,ES_Actb_high(Embryonic-Stem-Cell),Embryonic stem cell,embryo 10,Epithelial cells,epiblast cell,2-cell embryo,Intermediate Mesoderm,16-cell stage blastomere
169,2-cell embryo,Epithelial cells,embryo 14,embryo 10,,8-cell stage blastomere,ES_Actb_high(Embryonic-Stem-Cell),Embryonic stem cell,Endothelial cells,Postmitotic premature neurons
